	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
89	0	3			320.0	319.0	304.0	303.0	e	2940	1905	412.0	412	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				353.0	101	495.0	495.0	0	432.0	432.0
90	0	3	448.0	447.0	385.0	384.0	416.0	415.0	e	2940	2751	378.0	378	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	352.0	351.0	319.0	319.0	101	400.0	399.0	1	431.0	431.0
91	1	3	383.0	383.0	351.0	351.0	241.0	240.0	e	2940	2415	411.0	411	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	401.0	400.0	432.0	431.0	101	336.0	335.0	0	271.0	271.0
92	0	3	432.0	431.0	352.0	352.0	368.0	367.0	e	2909	2799	329.0	329	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	463.0	463.0	544.0	544.0	101	352.0	352.0	1	288.0	287.0
93	0	3	432.0	431.0	353.0	352.0	319.0	319.0	e	2909	2687	329.0	329	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	495.0	495.0	464.0	464.0	101	321.0	320.0	1	303.0	303.0
94	0	3			352.0	351.0	224.0	223.0	e	2909	1520	316.0	316	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				384.0	101	288.0	287.0	0	271.0	271.0
95	0	3	400.0	400.0	480.0	480.0	320.0	320.0	e	2909	2832	456.0	456	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	433.0	432.0	463.0	463.0	101	417.0	416.0	1	319.0	319.0
96	0	3			399.0	399.0	321.0	320.0	e	2909	1840	489.0	489	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				352.0	101	463.0	463.0	0	304.0	304.0
97	0	3			384.0	384.0	337.0	335.0	e	2909	1808	457.0	457	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				368.0	101	400.0	399.0	0	319.0	319.0
98	0	3			385.0	384.0	272.0	271.0	e	2909	1744	394.0	394	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				496.0	101	319.0	319.0	0	272.0	272.0
