	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
80	1	3	240.0	240.0	336.0	336.0	224.0	224.0	e	2672	1712	382.0	382	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	336.0	336.0	192.0	192.0	123	224.0	224.0	0	160.0	160.0
81	0	3							e	2656	128	411.0	411	[4, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	C					123			0		128.0
82	1	3	176.0	176.0	240.0	240.0	336.0	336.0	e	2656	1664	400.0	400	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	320.0	320.0	208.0	208.0	123	208.0	208.0	0	176.0	176.0
83	1	3	208.0	208.0	240.0	240.0	192.0	192.0	e	2654	1520	314.0	314	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C	352.0	352.0	176.0	176.0	123	176.0	176.0	0	176.0	176.0
84	0	3		160.0	304.0	304.0	272.0	272.0	e	2638	2032	329.0	329	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	368.0	368.0	320.0	320.0	123	416.0	416.0	0	192.0	192.0
85	0	3			336.0	336.0	320.0	320.0	e	2638	1536	398.0	398	[1, 4, 2, 3, 1, 4]	[1, 4, 2, 3, 1, 3, 4, 2]	A				272.0	123	336.0	336.0	0	272.0	271.0
86	0	3		208.0	336.0	336.0	352.0	352.0	e	2638	2144	429.0	429	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B	352.0	352.0	304.0	304.0	123	304.0	304.0	0	288.0	288.0
87	1	3	384.0	384.0	352.0	352.0	336.0	336.0	e	2638	2096	315.0	315	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	368.0	368.0	320.0	320.0	123	176.0	176.0	0	160.0	160.0
88	1	3	368.0	368.0	304.0	304.0	320.0	319.0	e	2608	2032	297.0	297	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	224.0	224.0	464.0	464.0	123	176.0	176.0	0	176.0	176.0
89	0	3			176.0	176.0	448.0	448.0	e	2528	1200	288.0	288	[2, 1, 4, 2, 3, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	B				240.0	123	192.0	192.0	0	144.0	144.0
90	1	3	240.0	240.0	272.0	272.0	464.0	464.0	e	2528	1968	266.0	266	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	B	448.0	448.0	256.0	256.0	123	144.0	144.0	0	144.0	144.0
91	0	3			288.0	288.0	272.0	272.0	e	2448	1344	395.0	395	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	C		224.0	224.0	224.0	123	224.0	224.0	0	112.0	112.0
92	0	3			256.0	256.0	368.0	368.0	e	2448	1328	316.0	316	[1, 4, 2, 3, 1, 4]	[1, 4, 2, 3, 1, 3, 4, 2]	A				224.0	123	336.0	336.0	0	144.0	144.0
