	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
45	1	2	192.0	190.0	384.0	382.0	368.0	366.0	e	2654.0	2048.0	553.0	553.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	224.0	222.0	240.0	238.0	246	288.0	286.0	0	352.0	350.0
46	1	2	240.0	238.0	256.0	254.0	272.0	270.0	e	2637.0	1808.0	409.0	409.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	256.0	254.0	256.0	254.0	246	288.0	286.0	0	240.0	238.0
47	1	2	336.0	334.0	256.0	254.0	304.0	302.0	e	2593.0	2047.0	360.0	360.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	335.0	334.0	246	224.0	223.0	0	256.0	254.0
48	1	2	464.0	462.0	272.0	270.0	400.0	398.0	e	2576.0	2208.0	329.0	329.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	272.0	270.0	368.0	366.0	246	208.0	206.0	0	224.0	222.0
49	1	2	240.0	238.0	240.0	238.0	320.0	318.0	e	2571.0	2065.0	313.0	313.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	464.0	462.0	288.0	286.0	246	272.0	270.0	0	241.0	239.0
50	1	2	208.0	206.0	320.0	318.0	288.0	286.0	e	2526.0	2048.0	297.0	297.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	366.0	368.0	366.0	246	272.0	270.0	0	224.0	222.0
51	0	2	416.0	414.0	256.0	254.0	368.0	366.0	e	2505.0	2208.0	344.0	344.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	384.0	382.0	304.0	302.0	246	272.0	270.0	1	208.0	206.0
52	1	2	160.0	158.0	352.0	350.0	304.0	302.0	e	2505.0	1856.0	426.0	426.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	224.0	222.0	304.0	302.0	246	256.0	254.0	0	256.0	253.0
53	1	2	176.0	174.0	336.0	334.0	240.0	238.0	e	2489.0	1744.0	313.0	313.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	240.0	238.0	240.0	238.0	246	256.0	254.0	0	256.0	254.0
54	0	2			368.0	366.0	256.0	254.0	e	2489.0	1984.0	312.0	312.0	[4, 3, 1, 4, 2, 3, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B		510.0	352.0	351.0	246	256.0	254.0	0	240.0	238.0
